timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:13:47.224, 93 %, 32017 MiB, 387.31 W, 54
2026/09/06 16:13:47.474, 93 %, 32017 MiB, 376.59 W, 56
2026/09/06 16:13:47.724, 93 %, 32017 MiB, 376.59 W, 56
2026/09/06 16:13:47.974, 93 %, 32017 MiB, 387.76 W, 54
2026/09/06 16:13:48.224, 93 %, 32017 MiB, 387.76 W, 54
2026/09/06 16:13:48.475, 93 %, 32017 MiB, 407.67 W, 55
2026/09/06 16:13:48.725, 93 %, 32017 MiB, 407.67 W, 55
2026/09/06 16:13:48.975, 93 %, 32017 MiB, 388.46 W, 54
2026/09/06 16:13:49.225, 93 %, 32017 MiB, 388.46 W, 54
2026/09/06 16:13:49.476, 92 %, 32017 MiB, 388.39 W, 58
2026/09/06 16:13:49.726, 92 %, 32017 MiB, 388.39 W, 58
2026/09/06 16:13:49.976, 92 %, 32017 MiB, 390.55 W, 55
2026/09/06 16:13:50.226, 92 %, 32017 MiB, 390.55 W, 55
2026/09/06 16:13:50.476, 94 %, 32017 MiB, 391.15 W, 55
2026/09/06 16:13:50.727, 94 %, 32017 MiB, 391.15 W, 55
2026/09/06 16:13:50.977, 94 %, 32017 MiB, 410.34 W, 61
2026/09/06 16:13:51.227, 94 %, 32017 MiB, 410.34 W, 61
2026/09/06 16:13:51.477, 93 %, 32017 MiB, 391.05 W, 55
2026/09/06 16:13:51.728, 93 %, 32017 MiB, 391.05 W, 55
2026/09/06 16:13:51.978, 93 %, 32017 MiB, 372.12 W, 55
2026/09/06 16:13:52.228, 93 %, 32017 MiB, 372.12 W, 55
2026/09/06 16:13:52.479, 93 %, 32017 MiB, 389.68 W, 55
2026/09/06 16:13:52.729, 93 %, 32017 MiB, 389.68 W, 55
2026/09/06 16:13:52.979, 93 %, 32017 MiB, 389.74 W, 55
2026/09/06 16:13:53.230, 93 %, 32017 MiB, 389.74 W, 55
2026/09/06 16:13:53.480, 93 %, 32017 MiB, 370.07 W, 55
2026/09/06 16:13:53.730, 93 %, 32017 MiB, 370.07 W, 55
2026/09/06 16:13:53.980, 93 %, 32017 MiB, 370.03 W, 55
2026/09/06 16:13:54.231, 93 %, 32017 MiB, 370.03 W, 55
2026/09/06 16:13:54.481, 0 %, 32017 MiB, 277.60 W, 50
2026/09/06 16:13:54.731, 0 %, 32017 MiB, 277.60 W, 50
2026/09/06 16:13:54.981, 0 %, 32017 MiB, 141.54 W, 50
2026/09/06 16:13:55.232, 0 %, 32017 MiB, 141.54 W, 50
2026/09/06 16:13:55.482, 0 %, 32017 MiB, 97.68 W, 49
2026/09/06 16:13:55.732, 0 %, 32017 MiB, 97.68 W, 49
2026/09/06 16:13:55.983, 0 %, 32017 MiB, 95.72 W, 49
2026/09/06 16:13:56.233, 0 %, 32017 MiB, 95.72 W, 49
2026/09/06 16:13:56.483, 0 %, 32017 MiB, 83.93 W, 48
2026/09/06 16:13:56.733, 0 %, 32017 MiB, 83.93 W, 48
2026/09/06 16:13:56.984, 0 %, 32017 MiB, 72.02 W, 48
2026/09/06 16:13:57.234, 0 %, 32017 MiB, 72.02 W, 48
2026/09/06 16:13:57.484, 0 %, 32017 MiB, 71.89 W, 48
2026/09/06 16:13:57.734, 0 %, 32017 MiB, 71.89 W, 48
2026/09/06 16:13:57.984, 0 %, 32017 MiB, 71.56 W, 48
2026/09/06 16:13:58.235, 0 %, 32017 MiB, 71.56 W, 48
2026/09/06 16:13:58.485, 0 %, 32017 MiB, 71.53 W, 48
2026/09/06 16:13:58.735, 0 %, 32017 MiB, 71.53 W, 48
2026/09/06 16:13:58.985, 0 %, 32017 MiB, 71.46 W, 48
2026/09/06 16:13:59.236, 0 %, 32017 MiB, 71.46 W, 48
2026/09/06 16:13:59.486, 0 %, 32017 MiB, 71.19 W, 48
2026/09/06 16:13:59.736, 0 %, 32017 MiB, 71.19 W, 48
2026/09/06 16:13:59.986, 0 %, 32017 MiB, 71.11 W, 47
2026/09/06 16:14:00.236, 0 %, 32017 MiB, 71.11 W, 47
2026/09/06 16:14:00.487, 0 %, 32017 MiB, 71.10 W, 47
2026/09/06 16:14:00.737, 0 %, 32017 MiB, 71.10 W, 47
2026/09/06 16:14:00.987, 0 %, 32017 MiB, 70.92 W, 47
2026/09/06 16:14:01.237, 0 %, 32017 MiB, 70.92 W, 47
2026/09/06 16:14:01.487, 0 %, 32017 MiB, 70.71 W, 47
2026/09/06 16:14:01.738, 0 %, 32017 MiB, 70.71 W, 47
2026/09/06 16:14:01.988, 0 %, 32017 MiB, 70.75 W, 47
2026/09/06 16:14:02.238, 0 %, 32017 MiB, 70.75 W, 47
2026/09/06 16:14:02.489, 0 %, 32017 MiB, 71.09 W, 47
2026/09/06 16:14:02.739, 0 %, 32017 MiB, 71.09 W, 47
2026/09/06 16:14:02.989, 0 %, 32017 MiB, 71.06 W, 47
2026/09/06 16:14:03.240, 0 %, 32017 MiB, 71.06 W, 47
2026/09/06 16:14:03.490, 0 %, 32017 MiB, 70.85 W, 47
2026/09/06 16:14:03.740, 0 %, 32017 MiB, 70.85 W, 47
2026/09/06 16:14:03.990, 0 %, 32017 MiB, 70.47 W, 47
2026/09/06 16:14:04.241, 0 %, 32017 MiB, 70.47 W, 47
2026/09/06 16:14:04.491, 0 %, 32017 MiB, 70.34 W, 47
2026/09/06 16:14:04.741, 0 %, 32017 MiB, 70.34 W, 47
2026/09/06 16:14:04.991, 0 %, 32017 MiB, 70.40 W, 47
2026/09/06 16:14:05.242, 0 %, 32017 MiB, 70.40 W, 47
2026/09/06 16:14:05.493, 0 %, 32017 MiB, 70.26 W, 47
2026/09/06 16:14:05.743, 0 %, 32017 MiB, 70.26 W, 47
2026/09/06 16:14:05.994, 0 %, 32017 MiB, 70.52 W, 47
