timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:27:19.530, 95 %, 27997 MiB, 392.14 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:19.780, 95 %, 27997 MiB, 392.03 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:20.030, 95 %, 27997 MiB, 392.03 W, 58, 2857 MHz, 13801 MHz
2026/09/06 16:27:20.281, 95 %, 27997 MiB, 392.33 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:20.531, 95 %, 27997 MiB, 392.33 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:20.781, 95 %, 27997 MiB, 392.30 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:21.031, 95 %, 27997 MiB, 392.30 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:21.282, 95 %, 27997 MiB, 392.42 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:21.532, 95 %, 27997 MiB, 392.42 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:21.783, 95 %, 27997 MiB, 392.75 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:22.033, 95 %, 27997 MiB, 392.75 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:22.283, 95 %, 27997 MiB, 392.93 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:22.533, 95 %, 27997 MiB, 392.93 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:22.784, 95 %, 27997 MiB, 393.07 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:23.034, 95 %, 27997 MiB, 393.07 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:23.284, 95 %, 27997 MiB, 393.33 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:23.534, 95 %, 27997 MiB, 393.33 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:23.784, 95 %, 27997 MiB, 393.36 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:24.035, 95 %, 27997 MiB, 393.36 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:24.285, 95 %, 27997 MiB, 393.35 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:24.535, 95 %, 27997 MiB, 393.35 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:24.785, 94 %, 27997 MiB, 393.59 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:25.035, 94 %, 27997 MiB, 393.59 W, 59, 2857 MHz, 13801 MHz
2026/09/06 16:27:25.286, 94 %, 27997 MiB, 393.69 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:25.536, 94 %, 27997 MiB, 393.69 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:25.786, 94 %, 27997 MiB, 394.00 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:26.036, 94 %, 27997 MiB, 394.00 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:26.287, 94 %, 27997 MiB, 394.65 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:26.537, 94 %, 27997 MiB, 394.65 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:26.787, 94 %, 27997 MiB, 394.42 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:27.037, 94 %, 27997 MiB, 394.42 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:27.288, 94 %, 27997 MiB, 394.50 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:27.538, 94 %, 27997 MiB, 394.50 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:27.788, 95 %, 27997 MiB, 395.26 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:28.038, 95 %, 27997 MiB, 395.26 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:28.289, 95 %, 27997 MiB, 395.52 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:28.539, 95 %, 27997 MiB, 395.52 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:28.789, 95 %, 27997 MiB, 395.77 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:29.039, 95 %, 27997 MiB, 395.77 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:29.289, 95 %, 27997 MiB, 396.02 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:29.540, 95 %, 27997 MiB, 396.02 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:29.790, 94 %, 27997 MiB, 395.93 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:30.040, 94 %, 27997 MiB, 395.93 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:30.290, 94 %, 27997 MiB, 395.79 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:30.540, 94 %, 27997 MiB, 395.79 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:30.791, 94 %, 27997 MiB, 396.03 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:31.041, 94 %, 27997 MiB, 396.03 W, 60, 2857 MHz, 13801 MHz
2026/09/06 16:27:31.291, 94 %, 27997 MiB, 396.48 W, 61, 2857 MHz, 13801 MHz
2026/09/06 16:27:31.541, 94 %, 27997 MiB, 396.48 W, 61, 2857 MHz, 13801 MHz
2026/09/06 16:27:31.792, 94 %, 27997 MiB, 396.66 W, 61, 2857 MHz, 13801 MHz
2026/09/06 16:27:32.042, 94 %, 27997 MiB, 396.66 W, 61, 2857 MHz, 13801 MHz
2026/09/06 16:27:32.292, 94 %, 27997 MiB, 396.66 W, 61, 2857 MHz, 13801 MHz
2026/09/06 16:27:32.542, 94 %, 27997 MiB, 396.63 W, 61, 2857 MHz, 13801 MHz
2026/09/06 16:27:32.792, 95 %, 27997 MiB, 396.63 W, 61, 2857 MHz, 13801 MHz
