timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:08:04.637, 0 %, 27889 MiB, 72.35 W, 50
2026/09/06 16:08:04.887, 0 %, 27889 MiB, 72.42 W, 50
2026/09/06 16:08:05.137, 0 %, 27889 MiB, 72.42 W, 50
2026/09/06 16:08:05.388, 0 %, 27889 MiB, 72.64 W, 49
2026/09/06 16:08:05.638, 0 %, 27889 MiB, 72.64 W, 49
2026/09/06 16:08:05.888, 0 %, 27889 MiB, 72.79 W, 49
2026/09/06 16:08:06.139, 0 %, 27889 MiB, 72.79 W, 49
2026/09/06 16:08:06.389, 0 %, 27889 MiB, 72.59 W, 49
2026/09/06 16:08:06.639, 0 %, 27889 MiB, 72.59 W, 49
2026/09/06 16:08:06.890, 0 %, 27889 MiB, 72.53 W, 49
2026/09/06 16:08:07.140, 0 %, 27889 MiB, 72.53 W, 49
2026/09/06 16:08:07.391, 0 %, 27889 MiB, 72.39 W, 49
2026/09/06 16:08:07.641, 0 %, 27889 MiB, 72.39 W, 49
2026/09/06 16:08:07.891, 0 %, 27889 MiB, 72.25 W, 49
2026/09/06 16:08:08.142, 0 %, 27889 MiB, 72.25 W, 49
2026/09/06 16:08:08.392, 0 %, 27889 MiB, 72.28 W, 49
2026/09/06 16:08:08.642, 0 %, 27889 MiB, 72.28 W, 49
2026/09/06 16:08:08.893, 0 %, 27889 MiB, 72.30 W, 49
2026/09/06 16:08:09.143, 0 %, 27889 MiB, 72.30 W, 49
2026/09/06 16:08:09.393, 0 %, 27889 MiB, 72.42 W, 49
2026/09/06 16:08:09.644, 0 %, 27889 MiB, 72.42 W, 49
2026/09/06 16:08:09.894, 0 %, 27889 MiB, 72.27 W, 49
2026/09/06 16:08:10.144, 0 %, 27889 MiB, 72.27 W, 49
2026/09/06 16:08:10.395, 0 %, 27889 MiB, 71.97 W, 49
2026/09/06 16:08:10.645, 0 %, 27889 MiB, 71.97 W, 49
2026/09/06 16:08:10.895, 0 %, 27889 MiB, 71.94 W, 49
2026/09/06 16:08:11.146, 0 %, 27889 MiB, 71.94 W, 49
2026/09/06 16:08:11.397, 0 %, 27889 MiB, 72.14 W, 48
2026/09/06 16:08:11.647, 0 %, 27889 MiB, 72.14 W, 48
2026/09/06 16:08:11.897, 0 %, 27889 MiB, 71.86 W, 48
2026/09/06 16:08:12.148, 0 %, 27889 MiB, 71.86 W, 48
2026/09/06 16:08:12.398, 0 %, 27889 MiB, 71.38 W, 48
2026/09/06 16:08:12.648, 0 %, 27889 MiB, 71.38 W, 48
2026/09/06 16:08:12.898, 0 %, 27889 MiB, 71.18 W, 48
2026/09/06 16:08:13.148, 0 %, 27889 MiB, 71.18 W, 48
2026/09/06 16:08:13.399, 0 %, 27889 MiB, 71.26 W, 48
2026/09/06 16:08:13.649, 0 %, 27889 MiB, 71.26 W, 48
2026/09/06 16:08:13.899, 0 %, 27889 MiB, 71.32 W, 48
