timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:38:18.108, 94 %, 28337 MiB, 390.13 W, 60
2026/09/06 16:38:18.359, 94 %, 28337 MiB, 406.60 W, 60
2026/09/06 16:38:18.609, 94 %, 28337 MiB, 406.60 W, 60
2026/09/06 16:38:18.859, 94 %, 28337 MiB, 407.17 W, 60
2026/09/06 16:38:19.109, 94 %, 28337 MiB, 407.17 W, 60
2026/09/06 16:38:19.359, 94 %, 28337 MiB, 408.24 W, 61
2026/09/06 16:38:19.610, 94 %, 28337 MiB, 408.24 W, 61
2026/09/06 16:38:19.860, 94 %, 28337 MiB, 406.57 W, 60
2026/09/06 16:38:20.110, 94 %, 28337 MiB, 406.57 W, 60
2026/09/06 16:38:20.360, 94 %, 28337 MiB, 409.70 W, 60
2026/09/06 16:38:20.610, 94 %, 28337 MiB, 409.70 W, 60
2026/09/06 16:38:20.861, 95 %, 28337 MiB, 390.73 W, 60
2026/09/06 16:38:21.111, 95 %, 28337 MiB, 390.73 W, 60
2026/09/06 16:38:21.361, 95 %, 28337 MiB, 405.99 W, 60
2026/09/06 16:38:21.611, 95 %, 28337 MiB, 405.99 W, 60
2026/09/06 16:38:21.861, 94 %, 28337 MiB, 404.58 W, 60
2026/09/06 16:38:22.112, 94 %, 28337 MiB, 404.58 W, 60
2026/09/06 16:38:22.362, 94 %, 28337 MiB, 400.31 W, 62
2026/09/06 16:38:22.612, 94 %, 28337 MiB, 400.31 W, 62
2026/09/06 16:38:22.862, 94 %, 28337 MiB, 407.26 W, 61
2026/09/06 16:38:23.113, 94 %, 28337 MiB, 407.26 W, 61
2026/09/06 16:38:23.363, 94 %, 28337 MiB, 398.50 W, 61
2026/09/06 16:38:23.613, 94 %, 28337 MiB, 398.50 W, 61
2026/09/06 16:38:23.863, 94 %, 28337 MiB, 407.46 W, 61
2026/09/06 16:38:24.113, 94 %, 28337 MiB, 407.46 W, 61
2026/09/06 16:38:24.364, 94 %, 28337 MiB, 409.34 W, 61
2026/09/06 16:38:24.614, 94 %, 28337 MiB, 409.34 W, 61
2026/09/06 16:38:24.864, 94 %, 28337 MiB, 391.48 W, 61
2026/09/06 16:38:25.114, 94 %, 28337 MiB, 391.48 W, 61
2026/09/06 16:38:25.365, 94 %, 28337 MiB, 406.71 W, 61
2026/09/06 16:38:25.615, 94 %, 28337 MiB, 406.71 W, 61
2026/09/06 16:38:25.865, 94 %, 28337 MiB, 408.82 W, 61
2026/09/06 16:38:26.115, 94 %, 28337 MiB, 408.82 W, 61
2026/09/06 16:38:26.365, 94 %, 28337 MiB, 392.04 W, 61
2026/09/06 16:38:26.616, 94 %, 28337 MiB, 392.04 W, 61
2026/09/06 16:38:26.866, 0 %, 28337 MiB, 352.92 W, 56
