timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:48:18.920, 100 %, 31897 MiB, 419.73 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:19.170, 100 %, 31897 MiB, 419.73 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:19.420, 100 %, 31897 MiB, 418.59 W, 70, 2797 MHz, 13801 MHz
2026/09/06 16:48:19.670, 100 %, 31897 MiB, 418.59 W, 70, 2797 MHz, 13801 MHz
2026/09/06 16:48:19.921, 100 %, 31897 MiB, 417.96 W, 70, 2797 MHz, 13801 MHz
2026/09/06 16:48:20.171, 100 %, 31897 MiB, 417.96 W, 70, 2797 MHz, 13801 MHz
2026/09/06 16:48:20.421, 100 %, 31897 MiB, 421.94 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:20.671, 100 %, 31897 MiB, 421.94 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:20.921, 100 %, 31897 MiB, 418.58 W, 69, 2797 MHz, 13801 MHz
2026/09/06 16:48:21.171, 100 %, 31897 MiB, 418.58 W, 69, 2797 MHz, 13801 MHz
2026/09/06 16:48:21.422, 100 %, 31897 MiB, 417.72 W, 70, 2797 MHz, 13801 MHz
2026/09/06 16:48:21.672, 100 %, 31897 MiB, 417.72 W, 70, 2797 MHz, 13801 MHz
2026/09/06 16:48:21.922, 100 %, 31897 MiB, 418.97 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:22.172, 100 %, 31897 MiB, 418.97 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:22.422, 100 %, 31897 MiB, 419.67 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:22.672, 100 %, 31897 MiB, 419.67 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:22.923, 100 %, 31897 MiB, 422.82 W, 67, 2820 MHz, 13801 MHz
